country,residential_structure,residential_content,residential,commercial_structure,commercial_content,commercial,industrial_structure,industrial_content,industrial,unknown_structure,unknown_content,unknown,gdp
Afghanistan,99.28469916,49.64234958,148.92704874,116.337117996,116.337117996,232.674235992,86.771923812,130.157885718,216.92980953,100.79791365599998,90.71812229039998,191.51603594639994,561.1976175
Albania,215.08229448,107.54114724,322.62344172,238.34796883199996,238.34796883199996,476.6959376639999,166.550867064,249.82630059599998,416.37716765999994,206.66037679200002,185.99433911280002,392.6547159048,4175.121638
Algeria,218.50048691999996,109.25024345999998,327.75073037999994,241.86052962,241.86052962,483.72105924,168.78066192,253.17099288,421.95165480000003,209.71389283200003,188.74250354880002,398.4563963808,4349.569325
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angola,215.9432865,107.97164325,323.91492975,239.23310799599997,239.23310799599997,478.46621599199995,167.11303870799998,250.66955806199996,417.78259676999994,207.42981105599998,186.68682995039998,394.11664100639996,4218.649126
Antigua and Barbuda,333.300910752,166.650455376,499.951366128,357.860863656,357.860863656,715.721727312,240.99024006,361.48536009,602.47560015,310.71733815600004,279.64560434040004,590.3629424964001,13017.31039
Argentina,317.3410953359999,158.67054766799995,476.0116430039999,341.933761728,341.933761728,683.867523456,231.21990068399998,346.829851026,578.04975171,296.83158591599994,267.14842732439996,563.9800132403999,11460.37615
Armenia,192.365693028,96.182846514,288.548539542,214.89831907199996,214.89831907199996,429.7966381439999,151.585811856,227.378717784,378.96452964,186.28327465199996,167.65494718679997,353.9382218387999,3124.784854
Aruba,423.82217592,211.91108796,635.73326388,447.2296776,447.2296776,894.4593552,295.12901559599993,442.6935233939999,737.8225389899999,388.72695636000003,349.854260724,738.5812170840001,24289.14152
Australia,567.39531096,283.69765548,851.0929664399999,586.2576924,586.2576924,1172.5153848,377.46768096,566.20152144,943.6692023999999,510.37356131999996,459.33620518799995,969.7097665079999,51800.93139
Austria,544.03252344,272.01626172,816.04878516,563.82660972,563.82660972,1127.65321944,364.31536607999993,546.4730491199999,910.7884151999999,490.72483296,441.65234966400004,932.377182624,46444.18444
Azerbaijan,244.80793670399999,122.40396835199999,367.211905056,268.76630066399997,268.76630066399997,537.5326013279999,185.766246504,278.649369756,464.41561626,233.11349463599998,209.8021451724,442.9156398084,5842.805784
"Bahamas, The",407.55057552,203.77528776,611.32586328,431.27620812000004,431.27620812000004,862.5524162400001,285.54285477599996,428.3142821639999,713.8571369399999,374.78987964,337.310891676,712.100771316,21941.8693
Bahrain,397.36095624,198.68047812,596.04143436,421.2624887999999,421.2624887999999,842.5249775999998,279.50936579999996,419.26404869999993,698.7734145,366.04427039999996,329.43984336,695.4841137599999,20545.96702
Bangladesh,111.74505836399997,55.87252918199999,167.61758754599995,129.82509432,129.82509432,259.65018864,95.87103587999998,143.80655381999998,239.67758969999994,112.48039619999999,101.23235657999999,213.71275277999996,762.8037395
Barbados,359.23247330399994,179.61623665199997,538.8487099559999,383.62326552,383.62326552,767.24653104,256.711193928,385.066790892,641.77798482,333.18897757199994,299.87007981479996,633.0590573867999,15812.27978
Belarus,244.42089238799997,122.21044619399999,366.63133858199996,268.372022148,268.372022148,536.744044296,185.51849331599996,278.2777399739999,463.7962332899999,232.77046928399994,209.49342235559996,442.26389163959993,5818.854859
