building,object_type
  house,residential
 chapel,commercial
40c,commercial
aapartments,residential
Abattoir,commercial
Abattoire,commercial
abbaye,commercial
abbaye ,commercial
abbey,commercial
abri,commercial
access,commercial
Acerias Paz del Rio,commercial
acess,commercial
address,commercial
Administration Police Line Thitha,commercial
administration_centre,commercial
administrative,commercial
Adventure Golf Totem Statue,commercial
aeroplane,commercial
Agence d'Assurance Axa,commercial
Aghezzola,commercial
Agrarian,commercial
agricultural,commercial
agriculture,commercial
Agroveterinaria Dos Pinos,commercial
air_shaft,commercial
Aire_libre,commercial
airodrome,commercial
Al Mandar,commercial
allotment_house,commercial
alm,commercial
Alm,commercial
alms_houses,residential
almshouse,residential
almshouses,residential
alotment_house,residential
alp,commercial
alp stable,commercial
Alphaville,commercial
alpi,commercial
altar,commercial
altemplom,commercial
Altenheim,commercial
Altglas- und Kleidercontainer,commercial
Altglascontainer,commercial
aluminium shop,commercial
ambulatory,commercial
amenity,commercial
amenity=university,commercial
Amphiteater,commercial
Amphitheater,commercial
amphitheatre,commercial
ancient pumping station,commercial
Anemon Hotel,commercial
Animal enclosure,commercial
ANL,commercial
Anne Ross Library,commercial
ano,commercial
antrance,commercial
aparments,commercial
apart,commercial
apartament,commercial
apartaments,commercial
apartements,residential
Aparthotel_Miami,commercial
apartment,residential
apartment building,residential
Apartment building,residential
apartment building with a church on the ground floor,residential
apartment house,residential
apartments,residential
Apartments,residential
apartments & commercial space at street level,commercial
apartments building,residential
apartments converted to commercial spaces & commercial space at street level,commercial
apartments/commercial space at street level,commercial
apartments;barn,residential
Apartments;house,residential
apartrments,residential
apiary,commercial
appartamet,residential
appartements,residential
Appartements,residential
appartment,residential
appartments,residential
Approved Premise,commercial
aprtments,residential
arbre,commercial
arcade,commercial
arch,commercial
architectural_monument,commercial
architecture,commercial
Archway,commercial
arena,commercial
Arena,commercial
Argos,commercial
armory,commercial
Army,commercial
art,commercial
art museum,commercial
arts_centre,commercial
Asistencia Tecnica,commercial
asphalt,commercial
assembly_hall,commercial
Association,commercial
Assure-IT,commercial
Asuncion,commercial
AT,commercial
Atelier,commercial
atelier de Broderie,commercial
atelier de couture,commercial
atm,commercial
attraction,commercial
Auditorio,commercial
auditorium,commercial
Aufbahrungshalle,commercial
auto repair,commercial
Ave Maria Gratia Plena,commercial
