landuse,object_type
commercial,commercial
construction,
fairground,commercial
industrial,industrial
residential,residential
retail,commercial
institutional,commercial
aquaculture,
allotments,
farmland,
farmyard,
animal_keeping,
flowerbed,
forest,
greenhouse_horticulture,
meadow,
orchard,
plant_nursery,
vineyard,
basin,
salt_pond,
grass,
brownfield,
cemetary,
depot,
garages,
greenfield,
landfill,
military,
port,industrial
quarry,industrial
railway,industrial
recreation_ground,
religious,
village_green,
winter_sports,
street,
